BP Economics Transportation Package Valuations	
Inputs:	Start Date	1/1/2002	
End Date	5/31/2006	
Volume/Day	  100,000 	
Receipt Pool Ratios:	
San Juan	60%	
Permian	40%	
Book Value	
Period	Volume/Day	PV Volume	PGE Topock Basis	PGE Topock Index	PGE Topock Phys. Basis	Receipt Basis	Receipt Index	Receipt Swap	Spread	Reservation	Commodity	Fuel	Tolls (incl. fuel)	MTM vs. Tolls	50/50	
Cal 02	100,000	  35,885,960 	 $ (0.097)	 $ 0.003 	 $ (0.094)	 $ (0.253)	 $ (0.008)	 $ (0.260)	 $ 0.166 	 $ 0.358 	 $ 0.033 	 $ 0.105 	 $ 0.496 	 $ (0.330)	$(11,848,027.36)	
Cal 03	100,000	  34,611,230 	 $ 0.218 	 $ 0.013 	 $ 0.231 	 $ (0.189)	 $ 0.003 	 $ (0.186)	 $ 0.417 	 $ 0.358 	 $ 0.032 	 $ 0.121 	 $ 0.511 	 $ (0.094)	$(3,248,934.66)	
Cal 04	100,000	  32,978,698 	 $ 0.289 	 $ 0.003 	 $ 0.292 	 $ (0.147)	 $ 0.004 	 $ (0.142)	 $ 0.434 	 $ 0.299 	 $ 0.028 	 $ 0.127 	 $ 0.454 	 $ (0.019)	$(636,602.36)	
Cal 05	100,000	  31,025,766 	 $ 0.309 	 $ - 0 	 $ 0.309 	 $ (0.130)	 $ 0.004 	 $ (0.126)	 $ 0.434 	 $ 0.299 	 $ 0.028 	 $ 0.130 	 $ 0.457 	 $ (0.023)	$(698,087.15)	
1/06-5/06	100,000	  12,303,002 	 $ 0.332 	 $ - 0 	 $ 0.332 	 $ (0.116)	 $ 0.004 	 $ (0.111)	 $ 0.443 	 $ 0.299 	 $ 0.028 	 $ 0.133 	 $ 0.460 	 $ (0.017)	$(214,329.21)	
1/1/02-5/31/06	  100,000 	  146,804,656 	 $ 0.186 	 $ 0.004 	 $ 0.190 	 $ (0.176)	 $ 0.001 	 $ (0.175)	 $ 0.365 	 $ 0.328 	 $ 0.030 	 $ 0.121 	 $ 0.479 	 $ (0.113)	 $ (16,645,980.742)	
Market Value	
Period	Volume/Day	PV Volume	PGE Topock Basis	PGE Topock Index	PGE Topock Phys. Basis	Receipt Basis	Receipt Index	Receipt Swap	Spread	Reservation	Commodity	Fuel	Tolls (incl. fuel)	MTM vs. Tolls	60/40	Optionality Value ($.04)	Adjusted Offer	
Cal 02	100,000	  35,885,960 	 $ (0.097)	 $ 0.003 	 $ (0.094)	 $ (0.266)	 $ (0.007)	 $ (0.273)	 $ 0.179 	 $ 0.359 	 $ 0.031 	 $ 0.104 	 $ 0.494 	 $ (0.315)	$(11,308,142.55)	$1,435,438.40 	$(9,872,704.15)	
Cal 03	100,000	  34,611,230 	 $ 0.218 	 $ 0.013 	 $ 0.231 	 $ (0.201)	 $ 0.003 	 $ (0.198)	 $ 0.429 	 $ 0.358 	 $ 0.030 	 $ 0.121 	 $ 0.509 	 $ (0.080)	$(2,758,957.33)	$1,384,449.20 	$(1,374,508.13)	
Cal 04	100,000	  32,978,698 	 $ 0.289 	 $ 0.003 	 $ 0.292 	 $ (0.155)	 $ 0.004 	 $ (0.151)	 $ 0.443 	 $ 0.299 	 $ 0.026 	 $ 0.126 	 $ 0.452 	 $ (0.009)	$(280,994.72)	$1,319,147.92 	$1,038,153.20 	
Cal 05	100,000	  31,025,766 	 $ 0.309 	 $ - 0 	 $ 0.309 	 $ (0.138)	 $ 0.004 	 $ (0.134)	 $ 0.443 	 $ 0.299 	 $ 0.026 	 $ 0.130 	 $ 0.455 	 $ (0.012)	$(367,972.25)	$1,241,030.64 	$873,058.39 	
1/06-5/06	100,000	  12,303,002 	 $ 0.332 	 $ - 0 	 $ 0.332 	 $ (0.124)	 $ 0.004 	 $ (0.119)	 $ 0.451 	 $ 0.299 	 $ 0.026 	 $ 0.133 	 $ 0.458 	 $ (0.007)	$(88,657.34)	$492,120.08 	$403,462.74 	
1/1/02-5/31/06	  100,000 	  146,804,656 	 $ 0.186 	 $ 0.004 	 $ 0.190 	 $ (0.187)	 $ 0.001 	 $ (0.186)	 $ 0.376 	 $ 0.328 	 $ 0.028 	 $ 0.121 	 $ 0.477 	 $ (0.101)	$(14,804,724.19)	$5,872,186.24 	$(8,932,537.95)	
1/1/02-5/31/02	  100,000 	  146,990,152 	 $ 0.116 	 $ 0.004 	 $ 0.120 	 $ (0.187)	 $ 0.001 	 $ (0.186)	 $ 0.306 	 $ 0.328 	 $ 0.028 	 $ 0.121 	 $ 0.477 	 $ (0.171)	$(25,065,256.68)	$5,879,606.08 	$(19,185,650.60)	BP Adjusted (Implied) Bid	
PGE Border to PGE City Gate	
Period	Volume/Day	PV Volume	PGE City Gate Basis	PGE City Gate Index	PGE City Gate Phys. Basis	PGE Topock Basis	PGE Topock Index	PGE Topock Phys. Basis	Spread	Reservation	Commodity	Fuel	Tolls (incl. Fuel)	MTM vs. Tolls	PV MTM	
Cal 02	  100,000 	  35,885,960 	  0.070 	  0.027 	  0.097 	  (0.097)	  0.003 	  (0.094)	  0.191 	  0.168 	  0.004 	  0.043 	  0.215 	  (0.024)	$(847,524.65)	
Cal 03	  100,000 	  34,611,230 	  0.418 	  0.027 	  0.445 	  0.218 	  0.013 	  0.231 	  0.214 	  0.168 	  0.004 	  0.053 	  0.224 	  (0.010)	$(352,395.68)	
Cal 04	  100,000 	  32,978,698 	  0.489 	  0.030 	  0.519 	  0.289 	  0.003 	  0.292 	  0.227 	  0.168 	  0.004 	  0.055 	  0.227 	  0.001 	$21,595.11 	
Cal 05	  100,000 	  31,025,766 	  0.509 	  0.030 	  0.539 	  0.309 	  - 0 	  0.309 	  0.230 	  0.168 	  0.004 	  0.056 	  0.228 	  0.002 	$69,752.09 	
1/06-5/06	  100,000 	  12,303,002 	  0.189 	  0.011 	  0.200 	  0.118 	  - 0 	  0.118 	  0.082 	  0.060 	  0.001 	  0.021 	  0.082 	  0.001 	$10,779.55 	
1/1/02-5/31/06	  100,000 	  146,804,656 	  0.378 	  0.029 	  0.406 	  0.186 	  0.004 	  0.190 	  0.216 	  0.168 	  0.004 	  0.052 	  0.224 	  (0.007)	$(1,097,793.59)	
San Juan Basis	San Juan Index	San Juan Phys. Basis	Permian Basis	Permian Index	Permian Phys. Basis	
 $ (0.322)	 $ (0.002)	 $ (0.324)	 $ (0.183)	 $ (0.013)	 $ (0.196)	
 $ (0.249)	 $ 0.002 	 $ (0.246)	 $ (0.130)	 $ 0.004 	 $ (0.126)	
 $ (0.190)	 $ 0.004 	 $ (0.186)	 $ (0.104)	 $ 0.005 	 $ (0.099)	
 $ (0.172)	 $ 0.004 	 $ (0.169)	 $ (0.088)	 $ 0.005 	 $ (0.083)	
 $ (0.156)	 $ 0.004 	 $ (0.152)	 $ (0.075)	 $ 0.005 	 $ (0.070)	
 $ (0.229)	 $ 0.002 	 $ (0.228)	 $ (0.123)	 $ 0.000 	 $ (0.123)	50/50	PV PGE Basis	PV PGE Index	PV Delivery Swap	PV SJ Basis	PV SJ Index	PV SJ Swap	PV Perm Basis	PV Perm Index	PV Perm Swap	PV Receipt Basis	PV Receipt Index	PV Receipt Swap	PV Spread	PV Reservation	PV Commodity	PV Fuel	PV Tolls	Value over tolls	PV Volume	60/40	PGE Basis	PGE Index	Delivery Swap	SJ Basis	SJ Index	SJ Swap	Perm Basis	Perm Index	Perm Swap	Receipt Basis	Receipt Index	Receipt Swap	Spread	Reservation	Commodity	Fuel	Tolls	Value over tolls	PV Volume	PV Volume	PGE CG Basis	PGE CG Index	PGE CG Swap	PGE BDR Basis	PGE BDR Index	PGE BDR Swap	Spread	Demand	Commodity	Fuel	Tariff	Value over Tolls	
Jan-02	 $ (477,787.190)	 $ - 0 	 $ (477,787.190)	 $ (970,986.870)	 $ (30,824.980)	 $ (1,001,811.850)	 $ (770,624.500)	 $ (84,768.695)	 $ (855,393.195)	 $ (870,805.685)	 $ (57,796.838)	 $ (928,602.523)	 $ 450,815.333 	 $ 1,104,998.471 	 $ 101,105.934 	 $ 303,523.144 	 $ 1,509,627.549 	 $ (1,058,812.216)	  3,082,498 	Jan-02	(477,787.19)	-   	(477,787.19)	(970,986.87)	(30,824.98)	(1,001,811.85)	(770,624.50)	(84,768.70)	(855,393.20)	(890,841.92)	(52,402.47)	(943,244.39)	465,457.20 	1,105,075.53 	95,680.74 	303,081.22 	1,503,837.49 	(1,038,380.29)	  3,082,498 	-262012.33	30824.98	-231187.35	-477787.19	0	-477787.19	2.47E+05	5.18E+05	11713.4924	1.24E+05	6.53E+05	-4.07E+05	
Feb-02	 $ (444,740.800)	 $ - 0 	 $ (444,740.800)	 $ (819,990.850)	 $ (27,796.300)	 $ (847,787.150)	 $ (667,111.200)	 $ (76,439.825)	 $ (743,551.025)	 $ (743,551.025)	 $ (52,118.063)	 $ (795,669.088)	 $ 350,928.288 	 $ 996,427.864 	 $ 91,171.864 	 $ 279,195.252 	 $ 1,366,794.980 	 $ (1,015,866.692)	  2,779,630 	Feb-02	(444,740.80)	-   	(444,740.80)	(819,990.85)	(27,796.30)	(847,787.15)	(667,111.20)	(76,439.82)	(743,551.02)	(758,838.99)	(47,253.71)	(806,092.70)	361,351.90 	996,497.35 	86,279.72 	278,898.21 	1,361,675.28 	(1,000,323.38)	  2,779,630 	-250166.7	27796.3	-222370.4	-444740.8	0	-444740.8	222370.4	4.67E+05	10562.594	1.13E+05	5.90E+05	-3.68E+05	
Mar-02	 $ (568,310.010)	 $ - 0 	 $ (568,310.010)	 $ (967,662.990)	 $ (30,719.460)	 $ (998,382.450)	 $ (706,547.580)	 $ (84,478.515)	 $ (791,026.095)	 $ (837,105.285)	 $ (57,598.988)	 $ (894,704.273)	 $ 326,394.263 	 $ 1,101,215.842 	 $ 100,759.829 	 $ 306,348.325 	 $ 1,508,323.996 	 $ (1,181,929.734)	  3,071,946 	$(16,430,411.42)	Mar-02	(568,310.01)	-   	(568,310.01)	(967,662.99)	(30,719.46)	(998,382.45)	(706,547.58)	(84,478.51)	(791,026.10)	(863,216.83)	(52,223.08)	(915,439.91)	347,129.90 	1,101,292.64 	95,353.20 	305,688.12 	1,502,333.96 	(1,155,204.06)	  3,071,946 	-353273.79	30719.46	-322554.33	-568310.01	0	-568310.01	2.46E+05	5.16E+05	11673.3948	1.23E+05	6.51E+05	-4.05E+05	
Apr-02	 $ (830,823.840)	 $ - 0 	 $ (830,823.840)	 $ (1,127,546.640)	 $ - 0 	 $ (1,127,546.640)	 $ (548,937.180)	 $ (29,672.280)	 $ (578,609.460)	 $ (838,241.910)	 $ (14,836.140)	 $ (853,078.050)	 $ 22,254.210 	 $ 1,063,677.057 	 $ 97,325.078 	 $ 292,039.594 	 $ 1,453,041.730 	 $ (1,430,787.520)	  2,967,228 	Apr-02	(830,823.84)	-   	(830,823.84)	(1,127,546.64)	-   	(1,127,546.64)	(548,937.18)	(29,672.28)	(578,609.46)	(896,102.86)	(11,868.91)	(907,971.77)	77,147.93 	1,063,751.24 	92,102.76 	290,147.42 	1,446,001.42 	(1,368,853.49)	  2,967,228 	-237378.24	89016.84	-148361.4	-830823.84	0	-830823.84	6.82E+05	4.98E+05	11275.4664	1.13E+05	6.23E+05	59516.83725768	
May-02	 $ (749,698.040)	 $ - 0 	 $ (749,698.040)	 $ (1,162,796.960)	 $ - 0 	 $ (1,162,796.960)	 $ (550,798.560)	 $ (30,599.920)	 $ (581,398.480)	 $ (856,797.760)	 $ (15,299.960)	 $ (872,097.720)	 $ 122,399.680 	 $ 1,096,930.632 	 $ 100,367.738 	 $ 306,063.521 	 $ 1,503,361.891 	 $ (1,380,962.211)	  3,059,992 	May-02	(749,698.04)	-   	(749,698.04)	(1,162,796.96)	-   	(1,162,796.96)	(550,798.56)	(30,599.92)	(581,398.48)	(917,997.60)	(12,239.97)	(930,237.57)	180,539.53 	1,097,007.13 	94,982.15 	304,058.55 	1,496,047.84 	(1,315,508.31)	  3,059,992 	-137699.64	91799.76	-45899.88	-749698.04	0	-749698.04	7.04E+05	5.14E+05	11627.9696	1.20E+05	6.46E+05	58104.74989176	
Jun-02	 $ (398,953.890)	 $ - 0 	 $ (398,953.890)	 $ (1,122,981.320)	 $ - 0 	 $ (1,122,981.320)	 $ (502,386.380)	 $ (29,552.140)	 $ (531,938.520)	 $ (812,683.850)	 $ (14,776.070)	 $ (827,459.920)	 $ 428,506.030 	 $ 1,059,370.339 	 $ 96,931.019 	 $ 300,362.986 	 $ 1,456,664.344 	 $ (1,028,158.314)	  2,955,214 	Jun-02	(398,953.89)	-   	(398,953.89)	(1,122,981.32)	-   	(1,122,981.32)	(502,386.38)	(29,552.14)	(531,938.52)	(874,743.34)	(11,820.86)	(886,564.20)	487,610.31 	1,059,444.22 	91,729.84 	298,321.76 	1,449,495.82 	(961,885.51)	  2,955,214 	192088.91	88656.42	280745.33	-398953.89	0	-398953.89	6.80E+05	4.96E+05	11229.8132	1.22E+05	6.30E+05	49957.98132642	
Jul-02	 $ - 0 	 $ - 0 	 $ - 0 	 $ (1,020,647.180)	 $ - 0 	 $ (1,020,647.180)	 $ (426,539.120)	 $ (30,467.080)	 $ (457,006.200)	 $ (723,593.150)	 $ (15,233.540)	 $ (738,826.690)	 $ 738,826.690 	 $ 1,092,168.650 	 $ 99,932.022 	 $ 317,929.433 	 $ 1,510,030.106 	 $ (771,203.416)	  3,046,708 	Jul-02	-   	-   	-   	(1,020,647.18)	-   	(1,020,647.18)	(426,539.12)	(30,467.08)	(457,006.20)	(783,003.96)	(12,186.83)	(795,190.79)	795,190.79 	1,092,244.82 	94,569.82 	315,991.61 	1,502,806.24 	(707,615.45)	  3,046,708 	609341.6	91401.24	700742.84	0	0	0	7.01E+05	5.12E+05	11577.4904	1.33E+05	6.57E+05	44183.54221848	
Aug-02	 $ 30,394.317 	 $ - 0 	 $ 30,394.317 	 $ (1,018,209.720)	 $ - 0 	 $ (1,018,209.720)	 $ (395,126.160)	 $ (30,394.320)	 $ (425,520.480)	 $ (706,667.940)	 $ (15,197.160)	 $ (721,865.100)	 $ 752,259.417 	 $ 1,089,560.386 	 $ 99,693.370 	 $ 321,648.894 	 $ 1,510,902.650 	 $ (758,643.233)	  3,039,432 	Aug-02	30,394.32 	-   	30,394.32 	(1,018,209.72)	-   	(1,018,209.72)	(395,126.16)	(30,394.32)	(425,520.48)	(768,976.30)	(12,157.73)	(781,134.02)	811,528.34 	1,089,636.37 	94,343.97 	319,607.67 	1,503,588.01 	(692,059.67)	  3,039,432 	638280.72	91182.96	729463.68	30394.31696057	0	30394.31696057	6.99E+05	5.11E+05	11549.8416	1.35E+05	6.57E+05	42136.01362949	
Sep-02	 $ (132,039.360)	 $ - 0 	 $ (132,039.360)	 $ (982,959.680)	 $ - 0 	 $ (982,959.680)	 $ (432,795.680)	 $ (29,342.080)	 $ (462,137.760)	 $ (707,877.680)	 $ (14,671.040)	 $ (722,548.720)	 $ 590,509.360 	 $ 1,051,840.213 	 $ 96,242.022 	 $ 310,856.260 	 $ 1,458,938.495 	 $ (868,429.135)	  2,934,208 	Sep-02	(132,039.36)	-   	(132,039.36)	(982,959.68)	-   	(982,959.68)	(432,795.68)	(29,342.08)	(462,137.76)	(762,894.08)	(11,736.83)	(774,630.91)	642,591.55 	1,051,913.57 	91,077.82 	309,070.40 	1,452,061.78 	(809,470.23)	  2,934,208 	454802.24	88026.24	542828.48	-132039.36	0	-132039.36	6.75E+05	4.93E+05	11149.9904	1.28E+05	6.32E+05	42429.79202112	
Oct-02	 $ (226,790.400)	 $ - 0 	 $ (226,790.400)	 $ (1,028,116.480)	 $ - 0 	 $ (1,028,116.480)	 $ (574,535.680)	 $ (30,238.720)	 $ (604,774.400)	 $ (801,326.080)	 $ (15,119.360)	 $ (816,445.440)	 $ 589,655.040 	 $ 1,083,982.515 	 $ 99,183.002 	 $ 320,708.659 	 $ 1,503,874.176 	 $ (914,219.136)	  3,023,872 	Oct-02	(226,790.40)	-   	(226,790.40)	(1,028,116.48)	-   	(1,028,116.48)	(574,535.68)	(30,238.72)	(604,774.40)	(846,684.16)	(12,095.49)	(858,779.65)	631,989.25 	1,084,058.11 	93,860.99 	319,275.98 	1,497,195.08 	(865,205.83)	  3,023,872 	377984	90716.16	468700.16	-226790.4	0	-226790.4	6.95E+05	5.08E+05	11490.7136	1.32E+05	6.52E+05	43852.37317632	
Nov-02	 $ (29,184.180)	 $ 58,368.360 	 $ 29,184.180 	 $ (656,644.050)	 $ - 0 	 $ (656,644.050)	 $ (488,835.015)	 $ - 0 	 $ (488,835.015)	 $ (572,739.533)	 $ - 0 	 $ (572,739.533)	 $ 601,923.713 	 $ 1,046,179.893 	 $ 95,724.110 	 $ 336,664.075 	 $ 1,478,568.078 	 $ (876,644.365)	  2,918,418 	Nov-02	(29,184.18)	58,368.36 	29,184.18 	(656,644.05)	-   	(656,644.05)	(488,835.02)	-   	(488,835.02)	(589,520.44)	-   	(589,520.44)	618,704.62 	1,046,252.85 	90,587.69 	336,154.48 	1,472,995.02 	(854,290.41)	  2,918,418 	554499.42	116736.72	671236.14	-29184.18	58368.36	29184.18	6.42E+05	4.90E+05	11089.9884	1.38E+05	6.40E+05	2193.94991568	
