West Gas	
Sep 2001 YTD	
By Team	
Originator	Commodity	Team	Revised Total	%Total	Original Total	Variance	
Tycholiz 	Gas 	West Gas 	  22,032,148 	44.45%	  22,032,148 	  - 0 	
Whitt  	Gas 	West Gas 	  11,726,562 	23.66%	  11,726,562 	  - 0 	
Lucci  	Gas 	West Gas 	  7,003,877 	14.13%	  7,003,878 	  (1)	
Miller  	Gas 	West Gas 	  4,124,771 	8.32%	  4,124,771 	  - 0 	
Harrison  	Gas 	West Gas 	  2,257,911 	4.55%	  2,257,911 	  - 0 	
Ward  	Gas 	West Gas 	  2,097,474 	4.23%	  2,099,230 	  (1,756)	
Fuller 	Gas 	West Gas 	  313,490 	0.63%	  313,490 	  - 0 	
Staab 	Gas 	West Gas 	  14,969 	0.03%	  14,969 	  - 0 	
Total 	  49,571,202 	100.0%	  49,572,959 	  (1,757)	Enron North Americas	
West Gas Originations Detail	
YTD September 30, 2001	
Deal #	Deal Date	Counterparty	Team	Book	Originator	Value	
QM7036	1/19/01	TUDOR	West Gas	FT-NWEST	Abramo	  2,612 	
QM7036	2/8/01	TUDOR	West Gas	FT-NWEST	Abramo	  (2,612)	
Abramo Total	  - 0 	
VT2967	8/1/2001	Clinton	West Gas	Ng-Price	Frihart	  - 0 	
Frihart Total	  - 0 	
VP7300/930527	7/19/01	E Prime (5 Day Call Option)	West Gas	GD-Options	Fuller	  98,150 	
VT8850.1	8/3/2001	Cascade Natural Gas	West Gas	Denver	Fuller	  72,998 	
QI4184.4	5/23/01	ECC	West Gas	FT-WEST	Fuller	  46,269 	
VN1031.1	7/10/01	E Prime	West Gas	FT-Denver	Fuller	  35,409 	
5	5/22/01	West Power	West Gas	FT-WEST	Fuller	  26,989 	
VB3363	5/22/01	E prime	West Gas	NG-Price	Fuller	  22,738 	
VC0613.1	5/24/01	e-prime	West Gas	FT-Denver	Fuller	  18,400 	
VC3685	5/25/01	e-prime	West Gas	FT-Nwest	Fuller	  12,970 	
VA7823.1	5/18/01	E prime	West Gas	FT-Nwest	Fuller	  6,445 	
VB7504	5/23/01	ECC	West Gas	FT-WEST	Fuller	  5,021 	
37039	5/29/01	e-prime	West Gas	FT-Nwest	Fuller	  2,506 	
V85231.1	5/10/01	E prime	West Gas	FT-Nwest	Fuller	  2,298 	
